id,product_id,plan_name,price_monthly,price_annual,billing_model,currency,features,product_name
1,1,Free,0.0,,per-seat,USD,"[""Unlimited pages for individuals"", ""7-day page history"", ""10 guest limit""]",Notion
2,1,Plus,12.0,,per-seat,USD,"[""Unlimited file uploads"", ""30-day page history"", ""Unlimited guests""]",Notion
3,1,Business,18.0,,per-seat,USD,"[""SAML SSO"", ""Private teamspaces"", ""Advanced permissions""]",Notion
4,1,Enterprise,,,per-seat,USD,"[""SCIM"", ""Audit log"", ""Custom data retention""]",Notion
5,2,Free,0.0,,flat,USD,"[""Unlimited tasks"", ""Unlimited members"", ""60MB storage""]",ClickUp
6,2,Unlimited,7.0,,per-seat,USD,"[""Unlimited storage"", ""Unlimited integrations"", ""Gantt charts""]",ClickUp
7,2,Business,12.0,,per-seat,USD,"[""Google SSO"", ""Unlimited dashboards"", ""Workload management""]",ClickUp
8,2,Enterprise,,,per-seat,USD,"[""White labeling"", ""HIPAA"", ""SSO"", ""Custom roles""]",ClickUp
9,3,Personal,0.0,,flat,USD,"[""Up to 2 users"", ""List, board & calendar views"", ""Unlimited tasks""]",Asana
10,3,Starter,10.99,,per-seat,USD,"[""Timeline & Gantt views"", ""Workflow builder"", ""Unlimited users""]",Asana
11,3,Advanced,24.99,,per-seat,USD,"[""Goals"", ""Portfolios"", ""Proofing"", ""Native time tracking""]",Asana
12,3,Enterprise,,,per-seat,USD,"[""SAML"", ""SCIM"", ""Data export"", ""Custom branding""]",Asana
13,4,Free,0.0,,flat,USD,"[""Up to 2 seats"", ""3 boards"", ""200+ templates""]",monday.com
14,4,Basic,9.0,,per-seat,USD,"[""Unlimited viewers"", ""Unlimited items"", ""5GB storage""]",monday.com
15,4,Standard,12.0,,per-seat,USD,"[""Timeline & Gantt"", ""Calendar view"", ""Guest access""]",monday.com
16,4,Pro,19.0,,per-seat,USD,"[""Private boards"", ""Time tracking"", ""Chart view""]",monday.com
17,4,Enterprise,,,per-seat,USD,"[""Advanced security"", ""Multi-level permissions"", ""Enterprise analytics""]",monday.com
18,5,Free,0.0,,flat,USD,"[""Unlimited cards"", ""10 boards/workspace"", ""Unlimited power-ups""]",Trello
19,5,Standard,5.0,,per-seat,USD,"[""Unlimited boards"", ""Advanced checklists"", ""Custom fields""]",Trello
20,5,Premium,10.0,,per-seat,USD,"[""AI features"", ""Dashboard view"", ""Timeline view"", ""Calendar view""]",Trello
21,5,Enterprise,17.5,,per-seat,USD,"[""Unlimited workspaces"", ""Organization-wide permissions"", ""24/7 support""]",Trello
22,6,Free,0.0,,flat,USD,"[""Up to 10 users"", ""Unlimited projects"", ""2GB storage""]",Jira
23,6,Standard,7.91,,per-seat,USD,"[""Up to 100K users"", ""250GB storage"", ""AI features""]",Jira
24,6,Premium,14.54,,per-seat,USD,"[""Cross-team planning"", ""Unlimited storage"", ""99.9% SLA""]",Jira
25,6,Enterprise,,,per-seat,USD,"[""Up to 150 sites"", ""Advanced analytics"", ""99.95% SLA""]",Jira
26,7,Free,0.0,,flat,USD,"[""1 project"", ""Up to 20 users"", ""1 GB storage""]",Basecamp
27,7,Basecamp Plus,15.0,,per-seat,USD,"[""Unlimited projects"", ""Unlimited users"", ""500 GB storage"", ""30-day free trial""]",Basecamp
28,7,Basecamp Pro Unlimited,299.0,,flat,USD,"[""Unlimited everything"", ""Priority support"", ""5 TB storage"", ""60-day free trial""]",Basecamp
29,8,Free,0.0,,flat,USD,"[""Board & table views"", ""Task management"", ""Web & mobile apps""]",Wrike
30,8,Team,10.0,,per-seat,USD,"[""2-15 users"", ""Gantt charts"", ""Custom fields""]",Wrike
31,8,Business,25.0,,per-seat,USD,"[""5-200 users"", ""Resource planning"", ""Templates""]",Wrike
32,8,Pinnacle,,,per-seat,USD,"[""Advanced reporting"", ""Budgeting"", ""SSO"", ""Advanced security""]",Wrike
33,9,Free,0.0,,flat,USD,"[""5 users"", ""2 projects"", ""Basic features""]",Teamwork
34,9,Deliver,13.99,,per-seat,USD,"[""300 projects"", ""Time tracking"", ""Billing""]",Teamwork
35,9,Grow,25.99,,per-seat,USD,"[""Unlimited projects"", ""Resource management"", ""Profitability reports""]",Teamwork
